id,name,zipcode,categories,pickup,delivery,price_range,rating
kn_cpoilWk2s7_8wmJDdSg,Krispy Pizza ,11228,pizza,0,1,$,4
s4tyQOpJwsBkYXc1mNhP-A,Harper's Bread House Inc.,10002,"bakeries, breakfast & brunch",0,1,$,4
r1QcTb4XA1t1gmni8qMBLw,Liberty Bagels,10022,"bagels, sandwiches, breakfast & brunch",0,0,$,4
R_9naRCabjpSnmiFPeXgrQ,Amy's Bread,10011,"bakeries, coffee & tea, sandwiches",0,1,$,4
pnPsIxHrCbBYyj_1oN8adw,Tradesman,11206,bars,0,1,$,4
Gpc2-sPCXlIQUrkfi4bpzw,Court Street Bagels,11201,bagels,0,1,$,4.5
1_vyc6Z4a78TFMbaCjWqDQ,3Greeks Grill,11106,"mediterranean, greek",1,1,$,4.5
GcBZDgOKOP-RkH_mI-DS9A,The Halal Guys,10003,"middle eastern, halal, mediterranean",1,1,$,3.5
LfPtY7hYpOsNTaxgfny_hw,Madman Espresso,10003,coffee & tea,1,1,$,4.5
MaqOf2swTH-HnXqL7kUPjg,Hidden Grounds Coffee,7302,"coffee & tea, breakfast & brunch, sandwiches",1,1,$,4.5
z6tXIo_91n3GiBM-ySsgIQ,Kung Fu Tea,10003,"bubble tea, coffee & tea, juice bars & smoothies",1,1,$,4.5
HNYWPCTLe78wdby34ffMKg,Al Noor Halal Deli,11232,"halal, delis, sandwiches",1,1,$,4.5
Xqm8Ywu-9bBxbMypocVx8g,Two Boots Pizza - West Village,10014,"pizza, salad, vegan",1,1,$,4.5
USQxn9Arz6tl-4AqtqpCkg,Pita Press,10005,"greek, mediterranean",1,1,$,3.5
S-aX_Pz8F7nDL6kRThKcHw,Vanessa's Dumpling House,11211,chinese,1,1,$,3.5
vROhrixoUwnGr3rgAqGNyw,TB Coffee House,11205,"coffee & tea, sandwiches",1,1,$,4.5
WxNlqGSsj_2TCodkx9Sa4A,ViVi Bubble Tea,10013,bubble tea,1,1,$,4
iNA1ljXvsX8R11NuY6GSMw,Rumba's Cafe,7307,cuban,1,1,$,4
QeKdQZD8Bd8xRm8du3ozYA,Numero 28 Pizzeria,11215,pizza,1,1,$,4
LAFoN3hSG5hob6rMp3v0WA,JIN YUN FU Tea Shop,10010,tea rooms,0,1,$,5
k3Dn19cNxNuLlO0lebtDUg,La Bagel Delight,11215,"bagels, breakfast & brunch, sandwiches",1,1,$,4
PQAIs-ZPN7QrBvJ-F9pE8w,Awesome Deli,11211,"delis, juice bars & smoothies, burgers",1,1,$,4.5
_4UvguU5z2hMsHXlYedFXw,Tao Hong Bakery,10002,"bakeries, chinese",0,0,$,4.5
_0JyovookSBUGzPoMaZi2A,Initial Tea,11205,"desserts, bubble tea, ice cream & frozen yogurt",1,1,$,4.5
pNbrxyrG5d5QwRsKbu0cXg,46,10013,desserts,0,1,$,4.5
98Bm2w9RzNJQZo4U3jSgQQ,Tacos Times Square,10016,mexican,1,1,$,4
7HP9pH30Ha7xJsxsdVJBrg,Bagelsmith,11211,"bagels, coffee & tea, sandwiches",1,1,$,3.5
rDaFCFuZ4jc3JMadrDGYbA,Ramini Espresso Bar & Cafe,10018,"coffee & tea, cafes",0,1,$,4.5
w8eAlTI-8pbVecPsWMrEMw,Baked In Brooklyn Bakery Store,11232,"bakeries, bagels, sandwiches",1,1,$,4
qauE0RX0J519WJw1zjI3VQ,Ost Cafe,10002,"coffee & tea, wine bars",0,1,$,4.5
_cU5kRVpsRjeHPO5Kz736Q,Diesel and Duke,7302,burgers,1,1,$,4.5
yaBrQbt7kMrbXAo6qrzpYw,By the Way Bakery,10024,"bakeries, gluten-free, custom cakes",0,1,$,4.5
mfK5xIUfIm8nnIL_KGb9Dg,Sanpanino,10014,"sandwiches, coffee & tea",1,1,$,4
OCdBg074crlFQ_IlMYEtTw,Red Hook Food Vendors,11232,"food stands, salvadoran, food trucks",0,0,$,4
DHUeIHJjW3iQsZ4rTd54fg,The Empanada Spot Williamsburg,11211,"colombian, empanadas, fast food",1,1,$,4
CAVAhULoGltO1GpmBqwY3Q,Eugene J. Candy Co.,11237,"candy stores, desserts, gift shops",1,1,$,5
5TnBfeoBpxPPwIXMGBMasg,New Double Dragon,10003,"dim sum, asian fusion",1,1,$,4
HcqYKQs46fYmk3aFNIQ2aA,Go Believe Bakery,10002,bakeries,0,1,$,4.5
graCalOReFFFOaC0febodw,Minus Celsius Ice Cream,10002,"ice cream & frozen yogurt, bubble tea",1,1,$,4
9ijkw9x8oSSSnsUo5uR4Xw,Taco Santana,11211,"mexican, salad, breakfast & brunch",1,1,$,4
w2zQozUnGO2bxi29xbEwGA,Jongro Rice Hot Dog,10001,"hot dogs, korean",0,1,$,4
Dw0D3560Yt3pQtdm74gGeQ,A&A Bake and Double and Roti Shop,11216,"bakeries, trinidadian, fast food",0,0,$,4.5
4aXPYKWBBpjDmkr9drsZ2g,Highline Pizzeria,10001,"pizza, salad",1,1,$,4
D4eAXe5BnvTbNHGPidWYow,Brooklyn Pizza Market,11231,"pizza, italian",1,1,$,3.5
0vuzpq5d_KdFHDmBblKuVg,Your Way Cafe,11237,"coffee & tea, breakfast & brunch, wraps",1,1,$,4
Lw58gDv9ipwtOcg2EIJp3w,Napoli Pizza & Pasta,11106,"pizza, italian",1,1,$,4
R7V8ZztJ0kRSvVqanXjb5g,OS Cafe,11215,cafes,0,1,$,4.5
6gE9N5wD4K-bbmSEBm7Lhw,Kong Kee,10002,"chinese, food stands",0,0,$,4
eW7kDF_1PT0CBbKA0sjLfA,Souk El Shater,11104,"lebanese, falafel",1,1,$,4.5
